price_normalized,returns_normalized,rsi_normalized,macd_hist_normalized,bb_position,atr_normalized,volatility_normalized,I_trend_float
0.902865,6.623701,0.707988,0.577949,1.000000,1.017213,3.940500,1.000000
0.464422,-0.645206,0.689924,1.490204,1.000000,1.156238,3.620323,1.000000
0.399935,0.630212,0.765923,2.114109,1.000000,1.206066,3.028034,1.000000
0.841950,1.319704,0.781067,2.685889,1.000000,1.267973,2.652173,1.000000
0.179253,-2.136846,0.691967,2.269057,0.870621,1.396180,2.672192,1.000000
0.868202,0.579667,0.703182,2.020315,0.882388,1.417510,2.542168,1.000000
0.009986,-0.793714,0.675678,1.513906,0.799515,1.431870,2.451236,1.000000
0.342707,-0.780306,0.649000,0.869718,0.729152,1.473782,2.363590,1.000000
0.891738,0.177007,0.653153,0.425307,0.731036,1.473537,2.204752,1.000000
0.934307,0.060170,0.645561,0.096854,0.725015,1.449021,2.119864,1.000000
0.892308,0.166854,0.649743,-0.112790,0.726855,1.290336,2.037954,1.000000
0.098068,-0.670201,0.735391,-0.465084,0.668374,1.156998,1.985828,1.000000
0.171076,-0.469715,0.706751,-0.828026,0.626425,1.123181,1.928552,1.000000
0.852941,0.404300,0.709012,-0.939060,0.653564,1.115550,1.867965,1.000000
0.552975,-0.400727,0.489140,-1.098280,0.615753,0.830639,1.816205,1.000000
0.614314,-0.010922,0.522540,-1.172858,0.611291,0.700262,1.758112,1.000000
0.715655,0.421735,0.512333,-1.077201,0.646514,0.616590,1.708615,1.000000
0.930116,1.013246,0.496765,-0.726050,0.761461,0.585241,1.435143,1.000000
0.202945,-1.245256,0.552098,-0.823104,0.623096,0.511550,1.458043,1.000000
0.422380,-0.650279,0.468088,-1.032798,0.483463,0.501951,1.440440,1.000000
0.460116,-0.240031,0.505126,-1.188485,0.450888,0.508412,-0.009079,1.000000
0.505796,1.080646,0.631843,-0.964070,0.892668,0.563640,0.050842,1.000000
0.852867,2.014602,0.709571,-0.254721,1.000000,0.647671,0.253582,1.000000
0.347498,-1.241465,0.626109,-0.136008,0.978609,0.710566,0.223570,1.000000
0.501333,0.812205,0.651374,0.159501,1.000000,0.795688,0.049122,1.000000
0.261200,0.082782,0.691489,0.355421,1.000000,0.818128,0.022839,1.000000
0.915739,0.381072,0.727959,0.561738,1.000000,0.840608,-0.012717,1.000000
0.853486,0.682284,0.737568,0.849659,1.000000,0.873293,-0.038895,1.000000
0.821495,2.462698,0.805236,1.691310,1.000000,1.027177,0.280503,1.000000
0.284665,0.014936,0.807148,2.108549,1.000000,1.085756,0.267698,1.000000
0.942043,0.387225,0.808989,2.337919,1.000000,1.123078,0.257645,1.000000
0.613519,5.636540,0.873429,4.084749,1.000000,1.570329,1.861950,1.000000
0.552723,-0.078613,0.920289,4.549673,1.000000,1.652449,1.782831,1.000000
0.524606,-0.116689,0.943116,4.377486,1.000000,1.678519,1.739701,1.000000
0.919030,-0.055540,0.947592,3.966833,0.957661,1.720541,1.670577,1.000000
0.124060,-0.709247,0.913457,3.332733,0.882521,1.669371,1.662808,1.000000
0.457455,-0.589621,0.878742,2.637853,0.827166,1.612263,1.652934,1.000000
0.787598,0.379666,0.937462,2.148255,0.822739,1.579420,1.606516,1.000000
0.441718,-0.624219,0.905609,1.563234,0.775803,1.526145,1.523803,1.000000
0.810026,0.336242,0.908671,1.161320,0.778361,1.525422,1.445616,1.000000
0.314587,-2.881904,0.735455,0.098703,0.618722,1.760470,1.822241,1.000000
0.899369,-0.383885,0.714935,-0.709515,0.591098,1.798302,1.780632,1.000000
0.864273,1.003276,0.699542,-0.969848,0.645855,1.689923,1.706551,1.000000
0.833085,0.807036,0.718304,-0.922561,0.692400,1.737668,1.615300,1.000000
